,company,date
527,HOG,2008-07-17
528,HOG,2008-10-16
529,HOG,2009-01-23
530,HOG,2010-04-20
531,HOG,2011-01-25
532,HOG,2011-04-19
533,HOG,2011-07-19
534,HOG,2011-10-18
535,HOG,2012-01-24
536,HOG,2012-04-25
537,HOG,2012-08-01
538,HOG,2012-10-23
539,HOG,2013-01-29
540,HOG,2013-04-25
541,HOG,2013-07-25
542,HOG,2013-10-22
543,HOG,2014-01-31
544,HOG,2014-04-22
545,HOG,2014-07-22
546,HOG,2014-10-21
547,HOG,2015-01-29
548,HOG,2015-04-21
549,HOG,2015-07-24
550,HOG,2015-10-20
551,HOG,2016-01-28
552,HOG,2016-04-19
553,HOG,2016-07-28
554,HOG,2016-10-18
555,HOG,2017-01-31
556,HOG,2017-04-18
557,HOG,2017-07-18
558,HOG,2017-10-17
559,HOG,2018-01-30
560,HOG,2018-04-24
561,HOG,2018-07-24
562,HOG,2018-10-23
563,HOG,2019-01-29
564,HOG,2019-04-23
565,HOG,2019-07-23
566,HOG,2019-10-22
567,HOG,2020-01-28
568,HOG,2020-04-28
569,HOG,2021-02-02
570,HOG,2021-04-20
571,HOG,2021-07-21
572,HOG,2021-10-27
573,HOG,2022-02-08
574,HOG,2022-04-27
575,HOG,2022-07-28
576,HOG,2022-10-26
577,KNDI,2015-08-10
578,KNDI,2015-11-09
579,KNDI,2016-03-14
580,KNDI,2016-05-10
581,KNDI,2016-08-11
582,KNDI,2016-11-09
583,KNDI,2017-03-17
584,KNDI,2017-05-10
585,KNDI,2017-08-09
586,KNDI,2017-11-11
587,KNDI,2018-03-16
588,KNDI,2018-05-11
589,KNDI,2018-08-11
590,KNDI,2018-11-11
591,KNDI,2019-03-15
592,KNDI,2019-05-12
593,KNDI,2019-08-09
594,KNDI,2019-11-12
595,KNDI,2020-04-28
596,KNDI,2020-06-06
597,KNDI,2021-03-30
598,KNDI,2021-05-10
599,KNDI,2021-08-09
600,KNDI,2021-11-09
601,KNDI,2022-03-15
602,KNDI,2022-05-09
603,KNDI,2022-08-08
604,KNDI,2022-11-08
605,LEA,2007-08-03
606,LEA,2007-11-07
607,LEA,2008-01-31
608,LEA,2008-04-29
609,LEA,2008-07-29
610,LEA,2008-10-30
611,LEA,2009-05-14
612,LEA,2009-12-20
613,LEA,2010-02-05
614,LEA,2010-05-06
615,LEA,2010-08-03
616,LEA,2010-10-30
617,LEA,2011-02-01
618,LEA,2011-04-29
619,LEA,2011-08-04
620,LEA,2011-10-28
621,LEA,2012-02-02
622,LEA,2012-05-03
623,LEA,2012-08-02
624,LEA,2012-10-26
625,LEA,2013-02-01
626,LEA,2013-04-25
627,LEA,2013-07-26
628,LEA,2013-10-25
629,LEA,2014-01-31
630,LEA,2014-04-25
631,LEA,2014-07-25
632,LEA,2014-10-24
633,LEA,2015-01-30
634,LEA,2015-04-24
635,LEA,2015-07-24
636,LEA,2015-10-23
637,LEA,2016-01-28
638,LEA,2016-04-27
639,LEA,2016-07-31
640,LEA,2016-10-26
641,LEA,2017-01-26
642,LEA,2017-04-26
643,LEA,2017-07-26
644,LEA,2017-10-25
645,LEA,2018-01-26
646,LEA,2018-04-26
647,LEA,2018-07-26
648,LEA,2018-10-25
649,LEA,2019-01-25
650,LEA,2019-04-26
651,LEA,2019-07-26
652,LEA,2019-10-25
653,LEA,2020-01-28
654,LEA,2020-05-08
655,LEA,2021-02-04
656,LEA,2021-05-07
657,LEA,2021-08-06
658,LEA,2021-11-02
659,LEA,2022-02-08
660,LEA,2022-05-03
661,LEA,2022-08-02
662,LEA,2022-11-01
663,LI,2020-11-13
664,LI,2021-02-26
665,LI,2021-05-26
666,LI,2021-08-30
667,LI,2021-11-29
668,LI,2022-02-25
669,LI,2022-05-10
670,LI,2022-08-15
671,MOD,2007-10-18
672,MOD,2010-07-30
673,MOD,2010-10-29
674,MOD,2012-08-07
675,MOD,2012-11-06
676,MOD,2013-02-01
677,MOD,2013-05-30
678,MOD,2013-08-01
679,MOD,2013-10-31
680,MOD,2014-01-31
681,MOD,2014-05-29
682,MOD,2014-08-02
683,MOD,2014-10-30
684,MOD,2015-02-04
685,MOD,2015-05-28
686,MOD,2015-07-31
687,MOD,2015-10-30
688,MOD,2016-02-03
689,MOD,2016-05-26
690,MOD,2016-08-03
691,MOD,2016-11-02
692,MOD,2017-02-07
693,MOD,2017-05-25
694,MOD,2017-08-05
695,MOD,2017-11-01
696,MOD,2018-01-31
697,MOD,2018-05-24
698,MOD,2018-10-31
699,MOD,2019-05-23
700,MOD,2019-08-02
701,MOD,2019-11-08
702,MOD,2020-02-05
703,MOD,2020-05-29
704,MOD,2021-02-05
705,MOD,2021-05-27
706,MOD,2021-08-08
707,MOD,2021-11-03
708,MOD,2022-02-03
709,MOD,2022-05-26
710,MOD,2022-08-06
711,MOD,2022-11-06
712,MPAA,2008-11-11
713,MPAA,2013-02-15
714,MPAA,2013-06-17
715,MPAA,2013-08-09
716,MPAA,2013-11-12
717,MPAA,2014-02-10
718,MPAA,2014-06-16
719,MPAA,2014-08-11
720,MPAA,2014-11-11
721,MPAA,2015-02-09
722,MPAA,2015-06-15
723,MPAA,2015-08-10
724,MPAA,2015-11-09
725,MPAA,2016-02-09
726,MPAA,2016-06-14
727,MPAA,2016-08-09
728,MPAA,2016-11-10
729,MPAA,2017-02-10
730,MPAA,2017-06-14
731,MPAA,2017-08-11
732,MPAA,2017-11-09
733,MPAA,2018-02-09
734,MPAA,2018-06-14
735,MPAA,2018-08-12
736,MPAA,2019-01-08
737,MPAA,2019-02-11
738,MPAA,2019-06-28
739,MPAA,2019-08-11
740,MPAA,2019-11-12
741,MPAA,2020-02-10
742,MPAA,2020-06-15
743,MPAA,2021-02-09
744,MPAA,2021-06-14
745,MPAA,2021-08-09
746,MPAA,2021-11-09
747,MPAA,2022-02-09
748,MPAA,2022-06-14
749,MPAA,2022-08-13
750,MPAA,2022-11-12
751,NIU,2018-11-20
752,NIU,2019-03-18
753,NIU,2019-05-13
754,NIU,2019-11-25
755,NIU,2020-03-16
756,NIU,2020-11-23
757,NIU,2021-05-17
758,NIU,2021-08-16
759,NIU,2021-11-22
760,PATK,2014-02-20
761,PATK,2014-04-25
762,PATK,2014-07-29
763,PATK,2014-10-30
764,PATK,2015-02-19
765,PATK,2015-05-03
766,PATK,2015-08-01
767,PATK,2015-10-29
768,PATK,2016-02-18
769,PATK,2016-04-30
770,PATK,2016-08-01
771,PATK,2016-10-27
772,PATK,2017-02-16
773,PATK,2017-04-27
774,PATK,2017-07-27
775,PATK,2017-10-28
776,PATK,2018-02-16
777,PATK,2018-04-26
778,PATK,2018-07-27
779,PATK,2018-10-25
780,PATK,2019-02-14
781,PATK,2019-04-25
782,PATK,2019-07-25
783,PATK,2019-10-25
784,PATK,2020-02-13
785,PATK,2020-05-02
786,PATK,2021-02-11
787,PATK,2021-05-01
788,PATK,2021-08-01
789,PATK,2021-10-28
790,PATK,2022-02-10
791,PATK,2022-04-30
792,PATK,2022-07-30
793,PATK,2022-10-27
794,QS,2021-02-16
795,QS,2021-05-12
796,QS,2021-07-28
797,QS,2021-10-26
798,QS,2022-02-16
799,QS,2022-04-26
800,QS,2022-07-27
801,QS,2022-10-26
802,RACE,2016-02-03
803,RACE,2016-05-02
804,RACE,2016-08-02
805,RACE,2017-02-02
806,RACE,2017-08-05
807,RACE,2017-11-02
808,RACE,2018-02-01
809,RACE,2018-05-05
810,RACE,2018-08-01
811,RACE,2018-11-05
812,RACE,2019-01-31
813,RACE,2019-05-07
814,RACE,2019-08-02
815,RACE,2019-11-04
816,RACE,2020-02-04
817,RACE,2020-05-04
818,RACE,2021-02-02
819,RACE,2021-05-04
820,RACE,2021-08-02
821,RACE,2021-11-02
822,RACE,2022-02-02
823,RACE,2022-05-04
824,RACE,2022-08-02
825,RACE,2022-11-02
826,REE,2021-08-17
827,REE,2021-11-16
828,REE,2022-03-03
829,REE,2022-05-17
830,REE,2022-08-16
831,RIVN,2021-12-17
832,RIVN,2022-03-10
833,RIVN,2022-05-11
834,RIVN,2022-08-11
835,RIVN,2022-11-09
836,SMP,2010-08-02
837,SMP,2010-11-02
838,SMP,2013-03-04
839,SMP,2013-05-04
840,SMP,2013-08-08
841,SMP,2013-11-01
842,SMP,2014-02-24
843,SMP,2014-05-03
844,SMP,2014-11-02
845,SMP,2015-02-25
846,SMP,2015-05-03
847,SMP,2015-08-01
848,SMP,2015-10-31
849,SMP,2016-02-26
850,SMP,2016-08-04
851,SMP,2016-10-29
852,SMP,2017-02-17
853,SMP,2017-05-06
854,SMP,2017-07-31
855,SMP,2017-10-27
856,SMP,2018-02-20
857,SMP,2018-05-06
858,SMP,2018-07-29
859,SMP,2018-10-26
860,SMP,2019-02-17
861,SMP,2019-05-02
862,SMP,2019-07-28
863,SMP,2019-11-01
864,SMP,2020-05-04
865,SMP,2020-08-02
866,SMP,2021-02-23
867,SMP,2022-05-03
868,SMP,2022-08-05
869,SMP,2022-10-30
870,SRI,2007-11-03
871,SRI,2010-07-28
872,SRI,2010-10-23
873,SRI,2013-03-01
874,SRI,2013-05-09
875,SRI,2013-08-01
876,SRI,2014-03-06
877,SRI,2014-08-11
878,SRI,2014-11-07
879,SRI,2015-02-27
880,SRI,2015-05-11
881,SRI,2015-07-30
882,SRI,2015-11-03
883,SRI,2016-03-01
884,SRI,2016-05-04
885,SRI,2016-08-02
886,SRI,2016-10-27
